STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2007,,1553024.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2008,,1621105.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2009,,1663499.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2010,,1716214.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2011,,1806409.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2012,,1833718.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2013,,1846265.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2014,,1918648.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2015,,2003678.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2016,,2064413.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2017,,2170781.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2018,,2306365.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2019,,2412007.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2020,,2362909.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2021,,2526592.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2022,,2659376.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2023,,2666014.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PL,Poland,2024,,2743952.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,1995,,156483.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,1996,,161967.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,1997,,169095.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,1998,,177225.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,1999,,184148.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2000,,191176.1,,,,,
