STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2021,,4.19,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2022,,3.79,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2023,,3.65,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2005,,4.49,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2006,,4.66,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2007,,4.77,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2008,,4.58,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2009,,4.43,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2010,,4.56,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2011,,4.28,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2012,,4.44,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2013,,4.36,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2014,,4.36,,,,,
