geo,Cluster
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
RS,0
SE,0
SE,0
SE,0
SE,0
SE,0
SE,0
SE,0
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,1
SE,0
SE,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SI,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
SK,0
TR,1
TR,1
TR,1
TR,1
TR,0
TR,0
TR,1
TR,1
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
TR,0
UA,1
UA,1
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UA,1
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,0
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
UK,1
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
XK,0
